0,1,2,3,4,5,6
137,182,211,281,309,627,1038
122,146,244,240,225,558,774
161,193,273,299,276,672,911
153,178,267,294,277,717,843
139,176,259,298,240,620,966
161,200,268,297,264,672,867
170,207,268,321,287,681,900
124,181,240,350,267,638,924
144,185,237,233,282,556,816
196,170,302,245,276,745,859
135,262,234,268,316,712,909
155,199,232,246,232,627,831
154,239,247,258,300,638,915
103,202,169,205,247,507,842
100,182,149,209,246,514,829
125,213,247,279,305,544,890
148,265,199,279,292,557,971
115,235,160,268,302,575,761
131,267,170,244,312,564,943
123,211,187,287,343,550,882
128,219,183,262,297,579,824
123,218,166,255,335,563,895
126,202,185,185,257,457,712
154,248,157,159,290,457,768
152,238,197,233,298,576,890
134,187,199,205,252,423,676
134,196,235,198,316,505,712
133,182,206,196,264,504,797
92,189,179,226,321,571,814
111,208,186,233,307,534,801
133,179,187,226,322,641,825
110,209,199,238,312,590,895
135,209,188,184,301,598,899
144,234,202,222,330,626,884
120,193,168,192,317,544,703
104,205,158,187,311,480,744
129,171,192,201,291,563,768
140,190,188,176,248,542,616
174,141,228,223,296,579,789
153,264,192,198,304,621,817
140,216,237,210,243,739,753
131,223,213,230,238,605,794
159,261,251,213,293,597,896
167,214,197,206,300,684,942
145,219,220,231,269,706,817
105,226,186,220,314,616,856
124,213,183,184,309,616,738
94,179,146,184,263,463,695
133,289,163,207,268,569,652
96,230,166,200,267,558,692
120,215,219,192,285,549,739
142,198,184,208,284,536,753
111,195,213,204,287,573,720
122,198,210,211,297,579,720
145,186,194,225,276,542,710
130,178,190,194,261,562,789
101,193,203,232,308,508,774
123,205,188,183,323,517,770
108,170,170,220,278,491,675
82,155,138,145,269,427,566
117,253,176,193,316,618,676
80,190,132,145,252,529,606
91,272,165,206,330,604,791
103,282,169,166,272,531,759
120,245,173,227,331,515,766
107,251,150,220,269,486,843
138,217,207,191,270,497,780
117,319,168,210,322,624,878
86,213,148,197,299,526,767
124,258,201,172,308,634,722
98,255,174,155,297,649,693
104,175,147,123,214,512,568
93,202,175,152,222,612,700
98,221,169,104,196,485,586
104,245,179,139,215,545,661
116,227,188,144,259,526,589
123,297,186,158,305,540,734
126,287,189,156,314,544,660
114,234,188,207,280,550,684
147,273,163,204,280,570,697
137,231,222,174,256,610,655
124,229,223,144,260,586,715
114,169,165,125,232,453,637
101,164,155,116,208,408,502
117,234,174,93,237,465,544
102,207,131,85,220,410,521
114,185,171,89,211,496,552
118,217,147,85,263,506,548
124,189,190,83,238,491,613
104,189,180,89,232,402,554
100,168,217,124,249,486,643
109,228,186,130,272,551,676
124,207,156,117,285,481,617
115,216,175,140,283,513,638
110,185,162,79,205,484,478
77,152,133,78,201,408,400
137,176,178,77,220,496,448
112,159,154,81,186,429,393
125,197,172,137,229,487,536
106,141,136,113,261,420,494
119,199,190,123,202,492,527
116,143,175,113,195,551,511
131,170,201,139,216,456,493
142,147,230,120,191,535,487
106,126,180,124,225,460,496
95,183,161,108,215,467,553
112,162,163,105,209,451,485
91,135,147,80,166,378,399
113,172,150,102,194,433,511
71,113,136,93,134,347,362
90,128,162,113,165,418,431
92,136,149,92,172,371,425
113,111,177,95,197,380,374
96,148,168,96,197,369,365
113,113,139,105,189,330,354
88,128,131,109,203,368,421
114,148,147,118,163,403,469
99,131,140,115,167,360,372
67,151,107,71,160,333,348
49,155,85,80,172,232,336
83,144,93,94,204,352,416
61,124,73,84,150,265,333
78,106,110,82,170,325,408
84,111,112,83,140,363,321
76,143,132,95,172,386,389
91,131,137,88,177,359,391
97,145,153,87,169,401,447
101,135,201,65,166,512,461
99,126,159,104,155,440,520
115,139,193,131,193,462,537
106,121,148,102,147,394,466
93,121,141,88,145,398,449
95,135,124,85,161,360,446
84,130,120,86,149,305,373
130,168,153,84,189,379,467
92,134,120,86,157,374,399
113,107,169,72,143,353,362
104,133,192,95,157,443,442
122,131,212,113,164,423,443
121,139,200,113,180,417,482
107,136,174,103,203,345,439
115,149,155,98,169,353,460
106,88,152,92,118,315,426
85,113,120,83,124,292,378
104,144,176,93,162,368,419
90,105,157,61,110,334,363
78,123,119,78,149,318,420
101,97,159,76,124,340,364
116,93,182,102,150,384,387
116,92,127,76,106,294,303
89,124,171,81,136,293,336
101,109,132,91,124,326,384
99,124,134,84,156,279,407
81,108,103,92,131,260,374
72,115,115,86,96,247,412
79,68,100,68,82,186,296
98,70,126,53,79,238,291
81,85,92,65,102,204,348
87,69,122,64,97,296,335
85,115,151,64,117,268,287
113,137,141,60,133,257,290
91,160,124,80,148,277,297
92,174,150,83,180,305,355
72,182,122,70,169,263,342
76,142,107,63,190,250,362
81,139,131,84,155,249,316
68,147,89,43,140,205,275
69,134,98,53,138,201,263
77,160,90,51,168,238,319
51,115,78,40,110,179,233
85,119,132,59,105,257,248
71,82,123,47,94,259,235
77,109,129,46,110,291,284
88,171,94,72,141,278,317
81,139,121,63,161,260,292
67,159,99,63,149,272,293
56,93,114,56,98,240,261
58,103,75,52,107,257,237
65,91,86,60,85,203,235
45,88,60,52,71,155,211
45,107,50,50,92,143,232
41,115,69,36,103,143,245
54,104,77,43,103,171,224
71,119,69,55,116,184,301
69,114,77,55,93,180,257
60,124,78,55,92,185,271
57,133,61,41,103,203,253
60,105,86,54,90,211,233
48,130,57,57,85,180,281
55,117,70,44,83,173,220
56,133,64,47,85,151,233
49,74,66,59,73,142,181